Date,No of Trans,Max,Min,Close,Volume
2016-05-26,25.0,689.0,657.0,679.0,5751.0
2016-05-29,42.0,679.0,660.0,679.0,10097.0
2016-05-30,31.0,679.0,665.0,666.0,6432.0
2016-05-31,33.0,667.0,653.0,659.0,7732.0
2016-06-01,51.0,665.0,648.0,656.0,10461.0
2016-06-02,60.0,682.0,656.0,668.0,14888.0
2016-06-05,63.0,674.0,650.0,668.0,8658.0
2016-06-06,25.0,670.0,647.0,670.0,4113.0
2016-06-07,31.0,680.0,661.0,677.0,9201.0
2016-06-08,59.0,689.0,676.0,677.0,11892.0
2016-06-09,45.0,694.0,677.0,677.0,7948.0
2016-06-12,19.0,689.0,668.0,675.0,4476.0
2016-06-13,151.0,710.0,680.0,700.0,40671.0
2016-06-14,106.0,725.0,710.0,721.0,35182.0
2016-06-15,42.0,723.0,712.0,720.0,11057.0
2016-06-16,49.0,722.0,697.0,713.0,14568.0
2016-06-19,36.0,714.0,693.0,705.0,18341.0
2016-06-20,50.0,710.0,697.0,700.0,10740.0
2016-06-21,40.0,720.0,700.0,703.0,9949.0
2016-06-22,37.0,728.0,706.0,720.0,11454.0
2016-06-23,33.0,720.0,696.0,702.0,6052.0
2016-06-26,36.0,712.0,703.0,710.0,7223.0
2016-06-27,77.0,739.0,713.0,739.0,22093.0
2016-06-28,49.0,735.0,721.0,735.0,12542.0
2016-06-29,32.0,732.0,724.0,727.0,10899.0
2016-06-30,62.0,729.0,716.0,722.0,19936.0
2016-07-03,47.0,720.0,713.0,719.0,11526.0
2016-07-04,50.0,730.0,710.0,730.0,5677.0
2016-07-05,68.0,750.0,713.0,745.0,20430.0
2016-07-06,91.0,775.0,743.0,761.0,24816.0
2016-07-10,36.0,765.0,740.0,761.0,4691.0
2016-07-11,114.0,789.0,761.0,777.0,27375.0
2016-07-12,58.0,784.0,720.0,766.0,8705.0
2016-07-13,46.0,768.0,740.0,760.0,10620.0
2016-07-14,48.0,775.0,755.0,768.0,11763.0
2016-07-17,184.0,844.0,765.0,844.0,46553.0
2016-07-18,104.0,865.0,814.0,833.0,28713.0
2016-07-19,203.0,899.0,830.0,888.0,53355.0
2016-07-20,272.0,976.0,900.0,976.0,73449.0
2016-07-21,200.0,1010.0,954.0,984.0,43680.0
2016-07-25,252.0,1065.0,985.0,1065.0,63729.0
2016-07-26,200.0,1113.0,1045.0,1082.0,37909.0
2016-07-27,169.0,1099.0,1035.0,1081.0,40667.0
2016-07-28,143.0,1069.0,1029.0,1060.0,33191.0
2016-07-31,128.0,1068.0,1020.0,1038.0,28865.0
2016-08-01,154.0,1050.0,995.0,1030.0,33867.0
2016-08-02,141.0,1015.0,1000.0,1000.0,58079.0
2016-08-03,100.0,1019.0,982.0,1002.0,23444.0
2016-08-04,143.0,995.0,955.0,970.0,30904.0
2016-08-07,136.0,1006.0,970.0,972.0,25130.0
2016-08-08,76.0,965.0,901.0,905.0,16460.0
2016-08-09,16.0,995.0,923.0,995.0,3567.0
2016-08-10,191.0,1020.0,936.0,1010.0,53909.0
2016-08-11,145.0,1020.0,992.0,1020.0,33089.0
2016-08-14,94.0,1001.0,955.0,968.0,20556.0
2016-08-15,144.0,1006.0,946.0,970.0,27993.0
2016-08-16,141.0,1001.0,970.0,985.0,30158.0
2016-08-17,123.0,1010.0,972.0,1000.0,16569.0
2016-08-21,74.0,1013.0,985.0,995.0,8813.0
2016-08-22,64.0,1000.0,962.0,964.0,6697.0
2016-08-23,80.0,983.0,948.0,970.0,12823.0
